"Plot Title: Aztec"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10799593, SEN S/N: 10799593)","RH, % (LGR S/N: 10799593, SEN S/N: 10799593)","Coupler Detached (LGR S/N: 10799593)","End Of File (LGR S/N: 10799593)"
1,01/18/17 10:26:38 AM,19.294,36.193,,
2,01/18/17 10:26:53 AM,,,Logged,
3,01/18/17 11:26:38 AM,17.796,36.729,,
4,01/18/17 12:26:38 PM,7.142,65.265,,
5,01/18/17 01:26:38 PM,1.967,94.866,,
6,01/18/17 02:26:38 PM,1.859,97.355,,
7,01/18/17 03:26:38 PM,1.832,98.331,,
8,01/18/17 04:26:38 PM,1.859,98.936,,
9,01/18/17 05:26:38 PM,1.859,99.317,,
10,01/18/17 06:26:38 PM,1.886,99.633,,
11,01/18/17 07:26:38 PM,1.913,99.855,,
12,01/18/17 08:26:38 PM,1.913,100.000,,
13,01/18/17 09:26:38 PM,1.940,100.000,,
14,01/18/17 10:26:38 PM,1.940,100.000,,
15,01/18/17 11:26:38 PM,1.967,100.000,,
16,01/19/17 12:26:38 AM,1.967,100.000,,
17,01/19/17 01:26:38 AM,1.994,100.000,,
18,01/19/17 02:26:38 AM,2.021,100.000,,
19,01/19/17 03:26:38 AM,2.021,100.000,,
20,01/19/17 04:26:38 AM,2.021,100.000,,
21,01/19/17 05:26:38 AM,2.021,100.000,,
22,01/19/17 06:26:38 AM,2.021,100.000,,
23,01/19/17 07:26:38 AM,2.021,100.000,,
24,01/19/17 08:26:38 AM,2.021,100.000,,
25,01/19/17 09:26:38 AM,2.047,100.000,,
26,01/19/17 10:26:38 AM,2.047,100.000,,
27,01/19/17 11:26:38 AM,2.074,100.000,,
28,01/19/17 12:26:38 PM,2.074,100.000,,
29,01/19/17 01:26:38 PM,2.074,100.000,,
30,01/19/17 02:26:38 PM,2.074,100.000,,
31,01/19/17 03:26:38 PM,2.074,100.000,,
32,01/19/17 04:26:38 PM,2.074,100.000,,
33,01/19/17 05:26:38 PM,2.074,100.000,,
