"Plot Title: Beatens_2016_b"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10799587, SEN S/N: 10799587)","RH, % (LGR S/N: 10799587, SEN S/N: 10799587)","Coupler Detached (LGR S/N: 10799587)","Coupler Attached (LGR S/N: 10799587)","Host Connected (LGR S/N: 10799587)","Stopped (LGR S/N: 10799587)","End Of File (LGR S/N: 10799587)"
1,09/16/16 12:59:54 PM,19.103,67.969,,,,,
2,09/16/16 01:00:00 PM,,,Logged,,,,
3,09/17/16 12:59:54 AM,9.706,99.607,,,,,
4,09/17/16 12:59:54 PM,9.682,100.000,,,,,
5,09/18/16 12:59:54 AM,9.706,100.000,,,,,
6,09/18/16 12:59:54 PM,9.657,100.000,,,,,
7,09/19/16 12:59:54 AM,9.682,100.000,,,,,
8,09/19/16 12:59:54 PM,9.706,100.000,,,,,
9,09/20/16 12:59:54 AM,9.608,100.000,,,,,
10,09/20/16 12:59:54 PM,9.534,100.000,,,,,
11,09/21/16 12:59:54 AM,9.534,100.000,,,,,
12,09/21/16 12:59:54 PM,9.509,100.000,,,,,
13,09/22/16 12:59:54 AM,9.485,100.000,,,,,
14,09/22/16 12:59:54 PM,9.460,100.000,,,,,
15,09/23/16 12:59:54 AM,9.435,100.000,,,,,
16,09/23/16 12:59:54 PM,9.386,100.000,,,,,
17,09/24/16 12:59:54 AM,9.361,100.000,,,,,
18,09/24/16 12:59:54 PM,9.312,100.000,,,,,
19,09/25/16 12:59:54 AM,9.361,100.000,,,,,
20,09/25/16 12:59:54 PM,9.361,100.000,,,,,
21,09/26/16 12:59:54 AM,9.386,100.000,,,,,
22,09/26/16 12:59:54 PM,9.312,100.000,,,,,
23,09/27/16 12:59:54 AM,9.262,100.000,,,,,
24,09/27/16 12:59:54 PM,9.213,100.000,,,,,
25,09/28/16 12:59:54 AM,9.188,100.000,,,,,
26,09/28/16 12:59:54 PM,9.163,100.000,,,,,
27,09/29/16 12:59:54 AM,9.139,100.000,,,,,
