"Plot Title: SouthLake12"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10799605, SEN S/N: 10799605)","RH, % (LGR S/N: 10799605, SEN S/N: 10799605)","Coupler Detached (LGR S/N: 10799605)","Coupler Attached (LGR S/N: 10799605)","Host Connected (LGR S/N: 10799605)","Stopped (LGR S/N: 10799605)","End Of File (LGR S/N: 10799605)"
1,11/14/24 10:00:00 AM,8.270,60.849,Logged,,,,
2,11/14/24 12:00:00 PM,8.643,82.651,,,,,
3,11/14/24 02:00:00 PM,7.695,90.395,,,,,
4,11/14/24 04:00:00 PM,7.670,91.487,,,,,
5,11/14/24 06:00:00 PM,7.670,91.639,,,,,
6,11/14/24 08:00:00 PM,7.670,91.792,,,,,
7,11/14/24 10:00:00 PM,7.670,91.970,,,,,
8,11/15/24 12:00:00 AM,7.645,92.040,,,,,
9,11/15/24 02:00:00 AM,7.645,92.167,,,,,
10,11/15/24 04:00:00 AM,7.645,92.167,,,,,
11,11/15/24 06:00:00 AM,7.645,92.243,,,,,
12,11/15/24 08:00:00 AM,7.645,92.319,,,,,
13,11/15/24 10:00:00 AM,7.619,92.338,,,,,
14,11/15/24 12:00:00 PM,7.619,92.490,,,,,
15,11/15/24 02:00:00 PM,7.645,92.699,,,,,
16,11/15/24 04:00:00 PM,7.670,93.212,,,,,
17,11/15/24 06:00:00 PM,7.670,93.212,,,,,
18,11/15/24 08:00:00 PM,7.619,92.769,,,,,
19,11/15/24 10:00:00 PM,7.594,92.306,,,,,
20,11/16/24 12:00:00 AM,7.544,91.505,,,,,
21,11/16/24 02:00:00 AM,7.519,91.040,,,,,
22,11/16/24 04:00:00 AM,7.519,91.295,,,,,
23,11/16/24 06:00:00 AM,7.469,90.976,,,,,
24,11/16/24 08:00:00 AM,7.469,90.925,,,,,
25,11/16/24 10:00:00 AM,7.469,91.384,,,,,
26,11/16/24 12:00:00 PM,7.544,91.709,,,,,
27,11/16/24 02:00:00 PM,7.569,91.308,,,,,
28,11/16/24 04:00:00 PM,7.569,90.440,,,,,
29,11/16/24 06:00:00 PM,7.544,91.912,,,,,
30,11/16/24 08:00:00 PM,7.569,90.772,,,,,
31,11/16/24 10:00:00 PM,7.569,89.670,,,,,
32,11/17/24 12:00:00 AM,7.594,89.214,,,,,
33,11/17/24 02:00:00 AM,7.594,90.651,,,,,
34,11/17/24 04:00:00 AM,7.619,91.448,,,,,
35,11/17/24 06:00:00 AM,7.619,92.135,,,,,
36,11/17/24 08:00:00 AM,7.645,92.876,,,,,
37,11/17/24 10:00:00 AM,7.670,93.464,,,,,
