"Plot Title:  10799580"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10799580, SEN S/N: 10799580)","RH, % (LGR S/N: 10799580, SEN S/N: 10799580)","Coupler Detached (LGR S/N: 10799580)","End Of File (LGR S/N: 10799580)"
1,11/28/17 10:16:28 PM,19.532,46.428,,
2,11/28/17 10:16:33 PM,,,Logged,
3,11/28/17 10:17:28 PM,19.888,47.360,,
4,11/28/17 10:18:28 PM,20.222,47.845,,
5,11/28/17 10:19:28 PM,20.555,45.855,,
6,11/28/17 10:20:28 PM,20.793,45.565,,
7,11/28/17 10:21:28 PM,20.936,44.752,,
8,11/28/17 10:22:28 PM,20.984,44.309,,
9,11/28/17 10:23:28 PM,21.008,44.055,,
10,11/28/17 10:24:28 PM,21.032,43.801,,
11,11/28/17 10:25:28 PM,21.079,43.903,,
12,11/28/17 10:26:28 PM,21.151,44.617,,
13,11/28/17 10:27:28 PM,21.175,43.914,,
14,11/28/17 10:28:28 PM,21.151,43.558,,
15,11/28/17 10:29:28 PM,21.175,43.239,,
16,11/28/17 10:30:28 PM,21.175,42.982,,
17,11/28/17 10:31:28 PM,21.270,43.379,,
18,11/28/17 10:32:28 PM,21.390,43.232,,
19,11/28/17 10:33:28 PM,21.461,43.079,,
20,11/28/17 10:34:28 PM,21.509,42.956,,
21,11/28/17 10:35:28 PM,21.533,42.830,,
22,11/28/17 10:36:28 PM,21.557,42.768,,
23,11/28/17 10:37:28 PM,21.581,44.444,,
24,11/28/17 10:38:28 PM,21.557,44.056,,
25,11/28/17 10:39:28 PM,21.533,43.796,,
26,11/28/17 10:40:28 PM,21.509,43.503,,
27,11/28/17 10:41:28 PM,21.485,43.372,,
28,11/28/17 10:42:28 PM,21.461,43.273,,
29,11/28/17 10:43:28 PM,21.461,43.015,,
30,11/28/17 10:44:28 PM,21.437,43.205,,
31,11/28/17 10:45:28 PM,21.413,43.299,,
32,11/28/17 10:46:28 PM,21.390,43.393,,
33,11/28/17 10:47:28 PM,21.366,43.455,,
34,11/28/17 10:48:28 PM,21.366,43.455,,
35,11/28/17 10:49:28 PM,21.366,43.455,,
36,11/28/17 10:50:28 PM,21.342,43.452,,
37,11/28/17 10:51:28 PM,21.342,43.452,,
38,11/28/17 10:52:28 PM,21.342,43.420,,
