"Plot Title:  10799588"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 10799588, SEN S/N: 10799588)","RH, % (LGR S/N: 10799588, SEN S/N: 10799588)","Coupler Detached (LGR S/N: 10799588)","End Of File (LGR S/N: 10799588)"
1,11/28/17 10:25:16 PM,15.581,61.471,,
2,11/28/17 10:25:38 PM,,,Logged,
3,11/28/17 10:26:16 PM,16.582,59.599,,
4,11/28/17 10:27:16 PM,17.153,55.993,,
5,11/28/17 10:28:16 PM,17.558,53.385,,
6,11/28/17 10:29:16 PM,17.891,51.421,,
7,11/28/17 10:30:16 PM,18.176,49.997,,
8,11/28/17 10:31:16 PM,18.509,49.666,,
9,11/28/17 10:32:16 PM,18.842,48.015,,
10,11/28/17 10:33:16 PM,19.080,47.068,,
11,11/28/17 10:34:16 PM,19.222,46.516,,
12,11/28/17 10:35:16 PM,19.341,45.992,,
13,11/28/17 10:36:16 PM,19.460,45.721,,
14,11/28/17 10:37:16 PM,19.651,47.076,,
15,11/28/17 10:38:16 PM,19.770,47.155,,
16,11/28/17 10:39:16 PM,19.865,47.040,,
17,11/28/17 10:40:16 PM,19.960,46.798,,
18,11/28/17 10:41:16 PM,20.031,46.585,,
19,11/28/17 10:42:16 PM,20.126,46.375,,
20,11/28/17 10:43:16 PM,20.198,45.938,,
21,11/28/17 10:44:16 PM,20.269,45.565,,
22,11/28/17 10:45:16 PM,20.317,45.348,,
23,11/28/17 10:46:16 PM,20.365,45.194,,
24,11/28/17 10:47:16 PM,20.412,45.072,,
25,11/28/17 10:48:16 PM,20.460,44.982,,
26,11/28/17 10:49:16 PM,20.484,44.953,,
27,11/28/17 10:50:16 PM,20.507,44.892,,
28,11/28/17 10:51:16 PM,20.555,44.834,,
29,11/28/17 10:52:16 PM,20.555,44.770,,
30,11/28/17 10:53:16 PM,20.603,44.712,,
31,11/28/17 10:54:16 PM,20.603,44.680,,
32,11/28/17 10:55:16 PM,20.650,44.653,,
33,11/28/17 10:56:16 PM,20.650,44.589,,
34,11/28/17 10:57:16 PM,20.674,44.560,,
35,11/28/17 10:58:16 PM,20.698,44.531,,
36,11/28/17 10:59:16 PM,20.722,44.470,,
37,11/28/17 11:00:16 PM,20.746,44.473,,
38,11/28/17 11:01:16 PM,20.746,44.409,,
39,11/28/17 11:02:16 PM,20.770,44.412,,
40,11/28/17 11:03:16 PM,20.793,44.350,,
41,11/28/17 11:04:16 PM,20.793,44.318,,
42,11/28/17 11:05:16 PM,20.817,44.289,,
43,11/28/17 11:06:16 PM,20.817,44.289,,
