"Plot Title: Taylor_2016_a"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10799586, SEN S/N: 10799586)","RH, % (LGR S/N: 10799586, SEN S/N: 10799586)","Coupler Detached (LGR S/N: 10799586)","Coupler Attached (LGR S/N: 10799586)","Host Connected (LGR S/N: 10799586)","Stopped (LGR S/N: 10799586)","End Of File (LGR S/N: 10799586)"
1,09/16/16 11:00:26 AM,20.126,59.921,,,,,
2,09/16/16 11:00:37 AM,,,Logged,,,,
3,09/16/16 11:00:26 PM,18.937,70.223,,,,,
4,09/17/16 11:00:26 AM,18.937,69.346,,,,,
5,09/17/16 11:00:26 PM,19.032,69.101,,,,,
6,09/18/16 11:00:26 AM,19.032,68.837,,,,,
7,09/18/16 11:00:26 PM,19.175,68.775,,,,,
8,09/19/16 11:00:26 AM,18.818,68.299,,,,,
9,09/19/16 11:00:26 PM,18.842,68.392,,,,,
10,09/20/16 11:00:26 AM,18.604,67.967,,,,,
11,09/20/16 11:00:26 PM,18.818,67.976,,,,,
12,09/21/16 11:00:26 AM,18.747,67.757,,,,,
13,09/21/16 11:00:26 PM,18.699,67.425,,,,,
14,09/22/16 11:00:26 AM,18.652,67.270,,,,,
15,09/22/16 11:00:26 PM,18.747,67.346,,,,,
16,09/23/16 11:00:26 AM,18.699,67.249,,,,,
17,09/23/16 11:00:26 PM,18.723,67.017,,,,,
18,09/24/16 11:00:26 AM,18.652,67.093,,,,,
19,09/24/16 11:00:26 PM,18.675,67.303,,,,,
20,09/25/16 11:00:26 AM,18.628,67.295,,,,,
21,09/25/16 11:00:26 PM,18.628,67.354,,,,,
22,09/26/16 11:00:26 AM,18.604,67.320,,,,,
23,09/26/16 11:00:26 PM,18.533,67.131,,,,,
24,09/27/16 11:00:26 AM,18.461,67.000,,,,,
25,09/27/16 11:00:26 PM,18.485,67.034,,,,,
26,09/28/16 11:00:26 AM,18.438,66.966,,,,,
27,09/28/16 11:00:26 PM,18.461,67.118,,,,,
28,09/29/16 11:00:26 AM,18.438,67.114,,,,,
29,09/29/16 11:00:26 PM,18.509,67.244,,,,,
30,09/30/16 11:00:26 AM,18.033,65.360,,,,,
31,09/30/16 11:00:26 PM,7.419,100.000,,,,,
32,10/01/16 11:00:26 AM,7.419,100.000,,,,,
33,10/01/16 11:00:26 PM,7.444,100.000,,,,,
34,10/02/16 11:00:26 AM,7.444,100.000,,,,,
35,10/02/16 11:00:26 PM,7.444,100.000,,,,,
36,10/03/16 11:00:26 AM,7.469,100.000,,,,,
37,10/03/16 11:00:26 PM,7.469,100.000,,,,,
38,10/04/16 11:00:26 AM,7.469,100.000,,,,,
39,10/04/16 11:00:26 PM,7.469,100.000,,,,,
40,10/05/16 11:00:26 AM,7.494,100.000,,,,,
41,10/05/16 11:00:26 PM,7.494,100.000,,,,,
42,10/06/16 11:00:26 AM,7.494,100.000,,,,,
43,10/06/16 11:00:26 PM,7.519,100.000,,,,,
44,10/07/16 11:00:26 AM,7.519,100.000,,,,,
45,10/07/16 11:00:26 PM,7.469,100.000,,,,,
46,10/08/16 11:00:26 AM,7.469,100.000,,,,,
47,10/08/16 11:00:26 PM,7.469,100.000,,,,,
48,10/09/16 11:00:26 AM,7.419,100.000,,,,,
49,10/09/16 11:00:26 PM,7.444,100.000,,,,,
50,10/10/16 11:00:26 AM,7.469,100.000,,,,,
51,10/10/16 11:00:26 PM,7.494,100.000,,,,,
52,10/11/16 11:00:26 AM,7.519,100.000,,,,,
53,10/11/16 11:00:26 PM,7.519,100.000,,,,,
54,10/12/16 11:00:26 AM,7.544,100.000,,,,,
55,10/12/16 11:00:26 PM,7.494,100.000,,,,,
56,10/13/16 11:00:26 AM,7.469,100.000,,,,,
57,10/13/16 11:00:26 PM,7.469,100.000,,,,,
58,10/14/16 11:00:26 AM,7.469,100.000,,,,,
59,10/14/16 11:00:26 PM,7.494,100.000,,,,,
60,10/15/16 11:00:26 AM,7.519,100.000,,,,,
61,10/15/16 11:00:26 PM,7.544,100.000,,,,,
62,10/16/16 11:00:26 AM,7.544,100.000,,,,,
63,10/16/16 11:00:26 PM,7.569,100.000,,,,,
64,10/17/16 11:00:26 AM,7.569,100.000,,,,,
65,10/17/16 11:00:26 PM,7.594,100.000,,,,,
66,10/18/16 11:00:26 AM,7.594,100.000,,,,,
67,10/18/16 11:00:26 PM,7.619,100.000,,,,,
68,10/19/16 11:00:26 AM,7.619,100.000,,,,,
69,10/19/16 11:00:26 PM,7.594,100.000,,,,,
70,10/20/16 11:00:26 AM,7.569,100.000,,,,,
71,10/20/16 11:00:26 PM,7.569,100.000,,,,,
72,10/21/16 11:00:26 AM,7.544,100.000,,,,,
73,10/21/16 11:00:26 PM,7.544,100.000,,,,,
74,10/22/16 11:00:26 AM,7.544,100.000,,,,,
75,10/22/16 11:00:26 PM,7.569,100.000,,,,,
76,10/23/16 11:00:26 AM,7.544,100.000,,,,,
77,10/23/16 11:00:26 PM,7.569,100.000,,,,,
78,10/24/16 11:00:26 AM,7.569,100.000,,,,,
79,10/24/16 11:00:26 PM,7.544,100.000,,,,,
80,10/25/16 11:00:26 AM,7.519,100.000,,,,,
81,10/25/16 11:00:26 PM,7.544,100.000,,,,,
82,10/26/16 11:00:26 AM,7.519,100.000,,,,,
83,10/26/16 11:00:26 PM,7.519,100.000,,,,,
84,10/27/16 11:00:26 AM,7.519,100.000,,,,,
85,10/27/16 11:00:26 PM,7.544,100.000,,,,,
86,10/28/16 11:00:26 AM,7.544,100.000,,,,,
87,10/28/16 11:00:26 PM,7.569,100.000,,,,,
88,10/29/16 11:00:26 AM,7.594,100.000,,,,,
89,10/29/16 11:00:26 PM,7.594,100.000,,,,,
90,10/30/16 11:00:26 AM,7.594,100.000,,,,,
91,10/30/16 11:00:26 PM,7.594,100.000,,,,,
92,10/31/16 11:00:26 AM,7.619,100.000,,,,,
93,10/31/16 11:00:26 PM,7.619,100.000,,,,,
94,11/01/16 11:00:26 AM,7.645,100.000,,,,,
95,11/01/16 11:00:26 PM,7.645,100.000,,,,,
96,11/02/16 11:00:26 AM,7.619,100.000,,,,,
97,11/02/16 11:00:26 PM,7.645,100.000,,,,,
98,11/03/16 11:00:26 AM,7.670,100.000,,,,,
99,11/03/16 11:00:26 PM,7.670,100.000,,,,,
100,11/04/16 11:00:26 AM,7.645,100.000,,,,,
101,11/04/16 11:00:26 PM,7.670,100.000,,,,,
102,11/05/16 11:00:26 AM,7.670,100.000,,,,,
103,11/05/16 11:00:26 PM,7.695,100.000,,,,,
104,11/06/16 11:00:26 AM,7.720,100.000,,,,,
105,11/06/16 11:00:26 PM,7.720,100.000,,,,,
106,11/07/16 11:00:26 AM,7.720,100.000,,,,,
107,11/07/16 11:00:26 PM,7.745,100.000,,,,,
108,11/08/16 11:00:26 AM,7.720,100.000,,,,,
109,11/08/16 11:00:26 PM,7.720,100.000,,,,,
110,11/09/16 11:00:26 AM,7.695,100.000,,,,,
111,11/09/16 11:00:26 PM,7.720,100.000,,,,,
112,11/10/16 11:00:26 AM,7.720,100.000,,,,,
113,11/10/16 11:00:26 PM,7.745,100.000,,,,,
114,11/11/16 11:00:26 AM,7.720,100.000,,,,,
115,11/11/16 11:00:26 PM,7.670,100.000,,,,,
116,11/12/16 11:00:26 AM,7.670,100.000,,,,,
117,11/12/16 11:00:26 PM,7.670,100.000,,,,,
118,11/13/16 11:00:26 AM,7.670,100.000,,,,,
119,11/13/16 11:00:26 PM,7.695,100.000,,,,,
120,11/14/16 11:00:26 AM,7.720,100.000,,,,,
121,11/14/16 11:00:26 PM,7.720,100.000,,,,,
122,11/15/16 11:00:26 AM,7.720,100.000,,,,,
