STATION,NAME,DATE,TAVG,TMAX,TMIN
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/1/2024,57,66,45
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/2/2024,56,73,38
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/3/2024,60,74,45
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/4/2024,65,79,55
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/5/2024,58,67,52
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/6/2024,49,53,37
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/7/2024,46,61,33
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/8/2024,59,75,40
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/9/2024,62,79,45
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/10/2024,64,78,48
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/11/2024,67,80,56
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/12/2024,65,85,50
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/13/2024,64,82,47
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/14/2024,66,78,50
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/15/2024,72,85,63
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/16/2024,71,87,58
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/17/2024,68,85,55
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/18/2024,67,84,54
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/19/2024,67,78,54
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/20/2024,68,78,52
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/21/2024,59,73,44
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/22/2024,55,64,38
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/23/2024,49,67,32
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/24/2024,52,71,37
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/25/2024,54,72,38
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/26/2024,61,82,44
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/27/2024,62,82,46
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/28/2024,61,82,45
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/29/2024,57,78,39
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",9/30/2024,60,79,39
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/1/2024,49,59,35
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/2/2024,55,71,36
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/3/2024,49,60,35
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/4/2024,45,66,28
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/5/2024,54,71,34
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/6/2024,49,55,41
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/7/2024,43,63,27
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/8/2024,39,57,27
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/9/2024,41,64,23
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/10/2024,51,69,31
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/11/2024,56,69,35
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/12/2024,42,53,29
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/13/2024,42,44,39
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/14/2024,38,47,29
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/15/2024,34,43,26
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/16/2024,38,57,23
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/17/2024,49,66,33
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/18/2024,57,73,45
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/19/2024,57,72,47
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/20/2024,60,74,49
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/21/2024,61,80,46
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/22/2024,62,74,52
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/23/2024,41,50,29
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/24/2024,45,61,28
USR0000MWAT,"WATERSMEET MICHIGAN, MI US",10/25/2024,45,52,39
